match,team,source,player,minutes,tt_goals,tt_assists,goal_hazard,goal_pct,assist_hazard,assist_pct,ga_pct,goal_yes_c,goal_no_c,assist_yes_c,assist_no_c,ga_yes_c,ga_no_c,news_status,news_reason,news_source
Egypt v Iran,Egypt,bet365,Omar Marmoush,98.0,1.036,0.777,0.1985,0.18,0.107,0.1015,0.2632,15.0,79.0,8.0,88.0,23.0,71.0,,,
Egypt v Iran,Egypt,bet365,Mohamed Salah,72.4,1.036,0.777,0.1771,0.1623,0.0967,0.0922,0.2395,14.0,82.0,7.0,89.0,21.0,73.0,,,
Egypt v Iran,Egypt,bet365,Mostafa Ziko,98.0,1.036,0.777,0.1513,0.1404,0.0735,0.0708,0.2013,12.0,84.0,5.0,91.0,17.0,77.0,,,
Egypt v Iran,Egypt,bet365,Mahmoud Trezeguet,98.0,1.036,0.777,0.1513,0.1404,0.107,0.1015,0.2276,12.0,84.0,8.0,88.0,20.0,74.0,,,
Egypt v Iran,Egypt,bet365,Mahmoud Saber,82.1,1.036,0.777,0.0767,0.0738,0.0656,0.0635,0.1327,5.0,91.0,4.0,92.0,11.0,85.0,,,
Egypt v Iran,Egypt,bet365,Emam Ashour,75.4,1.036,0.777,0.0704,0.068,0.0754,0.0726,0.1357,5.0,91.0,5.0,91.0,12.0,84.0,,,
Egypt v Iran,Egypt,bet365,Ramy Rabia,75.1,1.036,0.777,0.0393,0.0385,0.031,0.0306,0.0679,2.0,94.0,1.0,95.0,5.0,91.0,,,
Egypt v Iran,Egypt,bet365,Mohanad Lasheen,67.5,1.036,0.777,0.0384,0.0376,0.0324,0.0319,0.0683,2.0,94.0,1.0,95.0,5.0,91.0,,,
Egypt v Iran,Egypt,bet365,Mohamed Abdelmonem,98.0,1.036,0.777,0.0346,0.034,0.0405,0.0397,0.0723,1.0,95.0,2.0,94.0,5.0,91.0,,,
Egypt v Iran,Egypt,bet365,Ahmed Fatouh,85.8,1.036,0.777,0.0303,0.0298,0.0686,0.0663,0.0942,,,5.0,91.0,7.0,89.0,,,
Egypt v Iran,Egypt,bet365,Mohamed Hany,59.0,1.036,0.777,0.0208,0.0206,0.0373,0.0366,0.0564,,,2.0,94.0,4.0,92.0,,,
Egypt v Iran,Egypt,bet365,Hamza Abdelkarim,6.8,1.036,0.777,0.0099,0.0099,0.0054,0.0054,0.0152,,,,,,,,,
Egypt v Iran,Egypt,bet365,Ibrahim Adel,7.3,1.036,0.777,0.0096,0.0095,0.0062,0.0062,0.0157,,,,,,,,,
Egypt v Iran,Egypt,bet365,Marwan Attia,11.0,1.036,0.777,0.0063,0.0062,0.0057,0.0057,0.0119,,,,,,,,,
Egypt v Iran,Egypt,bet365,Haissem Hassan,6.0,1.036,0.777,0.0056,0.0056,0.0048,0.0048,0.0104,,,,,,,,,
Egypt v Iran,Egypt,bet365,Yasser Ibrahim,13.1,1.036,0.777,0.0046,0.0046,0.0047,0.0047,0.0093,,,,,,,,,
Egypt v Iran,Egypt,bet365,Ahmed Sayed Zizo,4.7,1.036,0.777,0.0044,0.0044,0.0038,0.0038,0.0082,,,,,,,,,
Egypt v Iran,Egypt,bet365,Karim Hafez,10.4,1.036,0.777,0.0037,0.0036,0.0073,0.0073,0.0109,,,,,,,,,
Egypt v Iran,Egypt,bet365,Tarek Alaa,9.6,1.036,0.777,0.0034,0.0034,0.0039,0.0039,0.0073,,,,,,,,,
Egypt v Iran,Egypt,bet365,Hossam Abdelmaguid,,1.036,0.777,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Egypt v Iran,Egypt,bet365,Nabil Emad,,1.036,0.777,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Egypt v Iran,Egypt,bet365,Hamdi Fathi,,1.036,0.777,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Egypt v Iran,Egypt,model,Nabil Donga,1.9,1.036,0.777,0.0015,0.0014,0.0017,0.0017,0.0031,,,,,,,,,
Egypt v Iran,Egypt,model,Mostafa Shobeir,98.0,1.036,0.777,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Egypt v Iran,Iran,bet365,Mehdi Taremi,81.6,0.981,0.736,0.2031,0.1838,0.0887,0.0849,0.2531,15.0,79.0,6.0,90.0,22.0,72.0,,,
Egypt v Iran,Iran,bet365,Mohammed Mohebi,69.7,0.981,0.736,0.1475,0.1372,0.0703,0.0679,0.1958,12.0,84.0,5.0,91.0,17.0,77.0,,,
Egypt v Iran,Iran,bet365,Saman Ghoddos,88.5,0.981,0.736,0.0885,0.0847,0.0735,0.0709,0.1495,6.0,90.0,5.0,91.0,13.0,83.0,,,
Egypt v Iran,Iran,bet365,Hossein Kanaani,98.0,0.981,0.736,0.0809,0.0777,0.0419,0.041,0.1155,6.0,90.0,2.0,94.0,10.0,86.0,,,
Egypt v Iran,Iran,bet365,Ramin Rezaeian,98.0,0.981,0.736,0.0744,0.0717,0.0989,0.0941,0.1591,5.0,91.0,7.0,89.0,14.0,82.0,,,
Egypt v Iran,Iran,bet365,Mohammad Ghorbani,98.0,0.981,0.736,0.0641,0.0621,0.0728,0.0702,0.128,4.0,92.0,5.0,91.0,11.0,85.0,,,
Egypt v Iran,Iran,bet365,Ali Nemati,98.0,0.981,0.736,0.0453,0.0443,0.0419,0.041,0.0835,2.0,94.0,2.0,94.0,6.0,90.0,,,
